CAMPO 1	CAMPO 2	CAMPO 3	CAMPO 4	CAMPO 5	CAMPO 6	CAMPO 7	CAMPO 8	CAMPO 9	CAMPO 10	CAMPO 11	CAMPO 12	CAMPO 13	CAMPO 14	CAMPO 15	CAMPO 16	CAMPO 17	CAMPO 18	CAMPO 19	CAMPO 20	CAMPO 21	CAMPO 22	CAMPO 23	CAMPO 24	CAMPO 25	CAMPO 26	CAMPO 27	CAMPO 28	CAMPO 29	CAMPO 30	CAMPO 31	CAMPO 32	CAMPO 32.1	CAMPO 32.2	CAMPO 32.3	CAMPO 32.4	CAMPO 33	CAMPO 34	CAMPO 35	CAMPO 36	CAMPO 37	CAMPO 38	CAMPO 39	CAMPO 40	CAMPO 40.1	CAMPO 40.2	CAMPO 41	CAMPO 42	CAMPO 43	CAMPO 44	CAMPO 45	CAMPO 46	CAMPO 47.1	CAMPO 47.2	CAMPO 47.3	CAMPO 48	CAMPO 48.1	CAMPO 48.2	CAMPO 48.3	CAMPO 48.4	CAMPO 49	CAMPO 49.1	CAMPO 50	CAMPO 51	CAMPO 52	CAMPO 53	CAMPO 54	CAMPO 55	CAMPO 55.1	CAMPO 56	CAMPO 56.1	CAMPO 57	CAMPO 57.1	CAMPO 57.2	CAMPO 57.3	CAMPO 57.4	CAMPO 57.5	CAMPO 57.6	CAMPO 57.7	CAMPO 57.8	CAMPO 57.9	CAMPO 57.10	CAMPO 57.11	CAMPO 57.12	CAMPO 57.13	CAMPO 57.14	CAMPO 58	CAMPO 59	CAMPO 60	CAMPO 61	CAMPO 62	CAMPO 63	CAMPO 64	CAMPO 64.1	CAMPO 64.2	CAMPO 65
CAMPO 0	CAMPO 1	CAMPO 2	CAMPO 3	CAMPO 4	CAMPO 5	CAMPO 6	CAMPO 7	CAMPO 8	CAMPO 9	CAMPO 10	CAMPO 11	CAMPO 12	CAMPO 13	CAMPO 14	CAMPO 15	CAMPO 16	CAMPO 17	CAMPO 18	CAMPO 19	CAMPO 20	CAMPO 21	CAMPO 22	CAMPO 23	CAMPO 24	CAMPO 25	CAMPO 26	CAMPO 27	CAMPO 28	CAMPO 29	CAMPO 30	CAMPO 31	CAMPO 32	CAMPO 33	CAMPO 34	CAMPO 35	CAMPO 36	CAMPO 37	CAMPO 38	CAMPO 39	CAMPO 40	CAMPO 41	CAMPO 42	CAMPO 43	CAMPO 44	CAMPO 45	CAMPO 46	CAMPO 47	CAMPO 48	CAMPO 49	CAMPO 50	CAMPO 51	CAMPO 52	CAMPO 53	CAMPO 54	CAMPO 55	CAMPO 56	CAMPO 57	CAMPO 58	CAMPO 59	CAMPO 60	CAMPO 61	CAMPO 62	CAMPO 63	CAMPO 64	CAMPO 65	CAMPO 66	CAMPO 67	CAMPO 68	CAMPO 69	CAMPO 70	CAMPO 71	CAMPO 72	CAMPO 73	CAMPO 74	CAMPO 75	CAMPO 76	CAMPO 77	CAMPO 78	CAMPO 79	CAMPO 80	CAMPO 81	CAMPO 82	CAMPO 83	CAMPO 84	CAMPO 85	CAMPO 86	CAMPO 87	CAMPO 88	CAMPO 89	CAMPO 90	CAMPO 91	CAMPO 92	CAMPO 93	CAMPO 94	CAMPO 95
JUAN	DAVID	MEJIA	MENA	CC	1624486859	1989-03-03	M	9999	E	EMP028	6	35	7001	3137155690-123124	1999-04-01	3	3	28	1	2017-08-01	760010287001	1	2	0	23	4	4	1800-01-01	1	2	85.8	9998	5	999998	9998	0	0	0	0	0	0	760010287001	1	50	39	1	0	0	1	1	0	12	14	0	4	1800-01-01	0	0	220	1	9999	0	0	0	0	9999	0	0	1	80	1	0	0	1	40	5	2	0	0	1	AGUSTIN	JOSE	RIEGOS	RIVERA	9999	60	5	800987000	500987000	10987000	9999	0	98	1845-01-01	codbbdua
JUAN	DAVID	MEJIA	MENA	CC	1000032461	1989-03-03	M	9999	E	EMP028	6	35	7001	3137155690-123124	1999-04-01	3	3	28	1	2017-08-01	760010287001	1	2	0	23	4	4	1800-01-01	1	2	85.8	9998	5	999998	9998	0	0	0	0	0	0	760010287001	1	50	39	1	0	0	1	1	0	12	14	0	4	1800-01-01	0	0	220	1	9999	0	0	0	0	9999	0	0	1	80	1	0	0	1	40	5	2	0	0	1	9999	AGUSTIN	JOSE	RIEGOS	RIVERA	60	5	800987000.56	500987000.78	10987000.9	9999	0	98	1845-01-01	codbbdua
JUAN	DAVID	MEJIA	MENA	TI	1000032461	1989-03-03	M	9999	E	EMP028	6	35	7001	3137155690-123124	1999-04-01	3	3	28	1	2017-08-01	760010287001	1	2	0	23	4	4	1800-01-01	1	2	85.8	9998	5	999998	9998	0	0	0	0	0	0	760010287001	1	50	39	1	0	0	1	1	0	12	14	0	4	1800-01-01	0	0	220	1	9999	0	0	0	0	9999	0	0	1	80	1	0	0	1	40	5	2	0	0	1	9999	AGUSTIN	JOSE	RIEGOS	RIVERA	60	5	800987000.56	500987000.78	10987000.9	9999	0	98	1845-01-01	
JUAN	DAVID	MEJIA	MENA	RC	1000032461	1989-03-03	M	9999	E	EMP028	6	35	7001	3137155690-123124	1999-04-01	3	3	28	1	2017-08-01	760010287001	1	2	0	23	4	4	1800-01-01	1	2	85.8	9998	5	999998	9998	0	0	0	0	0	0	760010287001	1	50	39	1	0	0	1	1	0	12	14	0	4	1800-01-01	0	0	220	1	9999	0	0	0	0	9999	0	0	1	80	1	0	0	1	40	5	2	0	0	1	9999	AGUSTIN	JOSE	RIEGOS	RIVERA	60	5	800987000.56	500987000.78	10987000.9	9999	0	98	1845-01-01	codbbdua
JUAN	DAVID	MEJIA	MENA	CC	1000032461	1989-03-03	M	9999	E	EMP028	6	35	7001	3137155690-123124	1999-04-01	3	3	28	1	2017-08-01	760010287001	1	2	0	23	4	4	1800-01-01	1	2	85.8	9998	5	999998	9998	0	0	0	0	0	0	760010287001	1	50	39	1	0	0	1	1	0	12	14	0	4	1800-01-01	0	0	220	1	9999	0	0	0	0	9999	0	0	1	80	1	0	0	1	40	5	2	0	0	1	9999	AGUSTIN	JOSE	RIEGOS	RIVERA	60	5	800987000.56	500987000.78	10987000.9	9999	0	98	1845-01-01	codbbdua
JUAN	DAVID	MEJIA	MENA	CC	1624486859	1989-03-03	M	9999	E	EMP028	6	35	7001	3137155690-123124	1999-04-01	3	3	28	1	2017-08-01	760010287001	1	2	0	23	4	4	1800-01-01	1	2	85.8	9998	5	999998	9998	0	0	0	0	0	0	760010287001	1	50	39	1	0	0	1	1	0	12	14	0	4	1800-01-01	0	0	220	1	9999	0	0	0	0	9999	0	0	1	80	1	0	0	1	40	5	2	0	0	1	AGUSTIN	JOSE	RIEGOS	RIVERA	9999	60	5	800987000	500987000	10987000	9999	0	98	1845-01-01	
JUAN	DAVID	MEJIA	MENA	CC	1000032461	1989-03-03	M	9999	E	EMP028	6	35	7001	3137155690-123124	1999-04-01	3	3	28	1	2017-08-01	760010287001	1	2	0	23	4	4	1800-01-01	1	2	85.8	9998	5	999998	9998	0	0	0	0	0	0	760010287001	1	50	39	1	0	0	1	1	0	12	14	0	4	1800-01-01	0	0	220	1	9999	0	0	0	0	9999	0	0	1	80	1	0	0	1	40	5	2	0	0	1	9999	AGUSTIN	JOSE	RIEGOS	RIVERA	60	5	800987000.56	500987000.78	10987000.9	9999	0	98	1845-01-01	codbbdua
JUAN	DAVID	MEJIA	MENA	TI	1000032461	1989-03-03	M	9999	E	EMP028	6	35	7001	3137155690-123124	1999-04-01	3	3	28	1	2017-08-01	760010287001	1	2	0	23	4	4	1800-01-01	1	2	85.8	9998	5	999998	9998	0	0	0	0	0	0	760010287001	1	50	39	1	0	0	1	1	0	12	14	0	4	1800-01-01	0	0	220	1	9999	0	0	0	0	9999	0	0	1	80	1	0	0	1	40	5	2	0	0	1	9999	AGUSTIN	JOSE	RIEGOS	RIVERA	60	5	800987000.56	500987000.78	10987000.9	9999	0	98	1845-01-01	codbbdua
JUAN	DAVID	MEJIA	MENA	RC	1000032461	1989-03-03	M	9999	E	EMP028	6	35	7001	3137155690-123124	1999-04-01	3	3	28	1	2017-08-01	760010287001	1	2	0	23	4	4	1800-01-01	1	2	85.8	9998	5	999998	9998	0	0	0	0	0	0	760010287001	1	50	39	1	0	0	1	1	0	12	14	0	4	1800-01-01	0	0	220	1	9999	0	0	0	0	9999	0	0	1	80	1	0	0	1	40	5	2	0	0	1	9999	AGUSTIN	JOSE	RIEGOS	RIVERA	60	5	800987000.56	500987000.78	10987000.9	9999	0	98	1845-01-01	
